Epoch 1, MNIST Accuracy: 0.8681, Fashion-MNIST Accuracy: 0.1169
Epoch 2, MNIST Accuracy: 0.8936, Fashion-MNIST Accuracy: 0.1116
Epoch 3, MNIST Accuracy: 0.9074, Fashion-MNIST Accuracy: 0.1072
Epoch 4, MNIST Accuracy: 0.9171, Fashion-MNIST Accuracy: 0.1027
Epoch 5, MNIST Accuracy: 0.9209, Fashion-MNIST Accuracy: 0.1011
Epoch 6, MNIST Accuracy: 0.9300, Fashion-MNIST Accuracy: 0.1014
Epoch 7, MNIST Accuracy: 0.9332, Fashion-MNIST Accuracy: 0.1040
Epoch 8, MNIST Accuracy: 0.9386, Fashion-MNIST Accuracy: 0.1147
Epoch 9, MNIST Accuracy: 0.9411, Fashion-MNIST Accuracy: 0.1197
Epoch 10, MNIST Accuracy: 0.9442, Fashion-MNIST Accuracy: 0.1228
Epoch 11, MNIST Accuracy: 0.9486, Fashion-MNIST Accuracy: 0.1290
Epoch 12, MNIST Accuracy: 0.9496, Fashion-MNIST Accuracy: 0.1268
Epoch 13, MNIST Accuracy: 0.9515, Fashion-MNIST Accuracy: 0.1179
Epoch 14, MNIST Accuracy: 0.9552, Fashion-MNIST Accuracy: 0.1162
Epoch 15, MNIST Accuracy: 0.9583, Fashion-MNIST Accuracy: 0.1158
Epoch 16, MNIST Accuracy: 0.9585, Fashion-MNIST Accuracy: 0.1125
Epoch 17, MNIST Accuracy: 0.9609, Fashion-MNIST Accuracy: 0.1137
Epoch 18, MNIST Accuracy: 0.9626, Fashion-MNIST Accuracy: 0.1104
Epoch 19, MNIST Accuracy: 0.9627, Fashion-MNIST Accuracy: 0.1072
Epoch 20, MNIST Accuracy: 0.9651, Fashion-MNIST Accuracy: 0.1040
Epoch 21, MNIST Accuracy: 0.9657, Fashion-MNIST Accuracy: 0.1007
Epoch 22, MNIST Accuracy: 0.9683, Fashion-MNIST Accuracy: 0.1011
Epoch 23, MNIST Accuracy: 0.9689, Fashion-MNIST Accuracy: 0.1002
Epoch 24, MNIST Accuracy: 0.9680, Fashion-MNIST Accuracy: 0.0999
Epoch 25, MNIST Accuracy: 0.9697, Fashion-MNIST Accuracy: 0.0995
Epoch 26, MNIST Accuracy: 0.9725, Fashion-MNIST Accuracy: 0.0989
Epoch 27, MNIST Accuracy: 0.9706, Fashion-MNIST Accuracy: 0.0987
Epoch 28, MNIST Accuracy: 0.9737, Fashion-MNIST Accuracy: 0.0988
Epoch 29, MNIST Accuracy: 0.9758, Fashion-MNIST Accuracy: 0.0984
Epoch 30, MNIST Accuracy: 0.9744, Fashion-MNIST Accuracy: 0.0986
Epoch 31, MNIST Accuracy: 0.9278, Fashion-MNIST Accuracy: 0.8093
Epoch 32, MNIST Accuracy: 0.9152, Fashion-MNIST Accuracy: 0.8164
Epoch 33, MNIST Accuracy: 0.9083, Fashion-MNIST Accuracy: 0.8117
Epoch 34, MNIST Accuracy: 0.8975, Fashion-MNIST Accuracy: 0.8126
Epoch 35, MNIST Accuracy: 0.8952, Fashion-MNIST Accuracy: 0.8413
Epoch 36, MNIST Accuracy: 0.8871, Fashion-MNIST Accuracy: 0.8439
Epoch 37, MNIST Accuracy: 0.8824, Fashion-MNIST Accuracy: 0.8628
Epoch 38, MNIST Accuracy: 0.8711, Fashion-MNIST Accuracy: 0.8590
Epoch 39, MNIST Accuracy: 0.8713, Fashion-MNIST Accuracy: 0.8545
Epoch 40, MNIST Accuracy: 0.8690, Fashion-MNIST Accuracy: 0.8618
Epoch 41, MNIST Accuracy: 0.8636, Fashion-MNIST Accuracy: 0.8657
Epoch 42, MNIST Accuracy: 0.8649, Fashion-MNIST Accuracy: 0.8501
Epoch 43, MNIST Accuracy: 0.8506, Fashion-MNIST Accuracy: 0.8592
Epoch 44, MNIST Accuracy: 0.8468, Fashion-MNIST Accuracy: 0.8752
Epoch 45, MNIST Accuracy: 0.8415, Fashion-MNIST Accuracy: 0.8744
Epoch 46, MNIST Accuracy: 0.8326, Fashion-MNIST Accuracy: 0.8534
Epoch 47, MNIST Accuracy: 0.8280, Fashion-MNIST Accuracy: 0.8714
Epoch 48, MNIST Accuracy: 0.8259, Fashion-MNIST Accuracy: 0.8842
Epoch 49, MNIST Accuracy: 0.8210, Fashion-MNIST Accuracy: 0.8615
Epoch 50, MNIST Accuracy: 0.8229, Fashion-MNIST Accuracy: 0.8842
Epoch 51, MNIST Accuracy: 0.8193, Fashion-MNIST Accuracy: 0.8577
Epoch 52, MNIST Accuracy: 0.8208, Fashion-MNIST Accuracy: 0.8881
Epoch 53, MNIST Accuracy: 0.8160, Fashion-MNIST Accuracy: 0.8846
Epoch 54, MNIST Accuracy: 0.8127, Fashion-MNIST Accuracy: 0.8793
Epoch 55, MNIST Accuracy: 0.8125, Fashion-MNIST Accuracy: 0.8728
Epoch 56, MNIST Accuracy: 0.8089, Fashion-MNIST Accuracy: 0.8821
Epoch 57, MNIST Accuracy: 0.8085, Fashion-MNIST Accuracy: 0.8820
Epoch 58, MNIST Accuracy: 0.8040, Fashion-MNIST Accuracy: 0.8706
Epoch 59, MNIST Accuracy: 0.8033, Fashion-MNIST Accuracy: 0.8716
Epoch 60, MNIST Accuracy: 0.7981, Fashion-MNIST Accuracy: 0.8831
