Epoch 1, Val Loss: 0.35851927450413157, Val Accuracy: 0.8926154458598726
Epoch 2, Val Loss: 0.2648775919405803, Val Accuracy: 0.9190883757961783
Epoch 3, Val Loss: 0.2721671368452204, Val Accuracy: 0.9173964968152867
Epoch 4, Val Loss: 0.21539588116560202, Val Accuracy: 0.9374004777070064
Epoch 5, Val Loss: 0.25067047762631134, Val Accuracy: 0.9285429936305732
Epoch 6, Val Loss: 0.20786257826568927, Val Accuracy: 0.9418789808917197
Epoch 7, Val Loss: 0.2719326911903443, Val Accuracy: 0.921875
Epoch 8, Val Loss: 0.3185221154752905, Val Accuracy: 0.9125199044585988
Epoch 9, Val Loss: 0.26220585523873186, Val Accuracy: 0.9247611464968153
Epoch 10, Val Loss: 0.3228261846793922, Val Accuracy: 0.9201831210191083
Epoch 11, Val Loss: 0.23085229783348596, Val Accuracy: 0.9365047770700637
Epoch 12, Val Loss: 0.26560519335518595, Val Accuracy: 0.92296974522293
Epoch 13, Val Loss: 0.23035584386752528, Val Accuracy: 0.9373009554140127
Epoch 14, Val Loss: 0.20398987805660648, Val Accuracy: 0.9429737261146497
Epoch 15, Val Loss: 0.2627478044763338, Val Accuracy: 0.9308320063694268
Epoch 16, Val Loss: 0.2252663847468319, Val Accuracy: 0.9390923566878981
Epoch 17, Val Loss: 0.2600636570180535, Val Accuracy: 0.9292396496815286
Epoch 18, Val Loss: 0.20517990837662606, Val Accuracy: 0.9407842356687898
Epoch 19, Val Loss: 0.2095196996555978, Val Accuracy: 0.9407842356687898
Epoch 20, Val Loss: 0.22081850439155842, Val Accuracy: 0.9369028662420382
Epoch 21, Val Loss: 0.2107661407942154, Val Accuracy: 0.9425756369426752
Epoch 22, Val Loss: 0.19154940331858958, Val Accuracy: 0.9498407643312102
Epoch 23, Val Loss: 0.19993726926808286, Val Accuracy: 0.9446656050955414
Epoch 24, Val Loss: 0.21559001200470576, Val Accuracy: 0.93640525477707
Epoch 25, Val Loss: 0.19236671624654775, Val Accuracy: 0.9510350318471338
Epoch 26, Val Loss: 0.22084725448034206, Val Accuracy: 0.9424761146496815
Epoch 27, Val Loss: 0.19753035028342003, Val Accuracy: 0.9486464968152867
Epoch 28, Val Loss: 0.20097961075081947, Val Accuracy: 0.9478503184713376
Epoch 29, Val Loss: 0.2129919276525308, Val Accuracy: 0.9407842356687898
Epoch 30, Val Loss: 0.1922628823445315, Val Accuracy: 0.9491441082802548
Epoch 31, Val Loss: 0.2100790208109186, Val Accuracy: 0.943968949044586
Epoch 32, Val Loss: 0.17654166626892273, Val Accuracy: 0.9505374203821656
Epoch 33, Val Loss: 0.17830439531474201, Val Accuracy: 0.9521297770700637
Epoch 34, Val Loss: 0.17441793847261858, Val Accuracy: 0.9524283439490446
Epoch 35, Val Loss: 0.17428733439797944, Val Accuracy: 0.9526273885350318
Epoch 36, Val Loss: 0.1953260480444048, Val Accuracy: 0.9482484076433121
Epoch 37, Val Loss: 0.1922949500008231, Val Accuracy: 0.9487460191082803
Epoch 38, Val Loss: 0.19162568614846331, Val Accuracy: 0.9508359872611465
Epoch 39, Val Loss: 0.1867919144966598, Val Accuracy: 0.9503383757961783
Epoch 40, Val Loss: 0.1853197583985058, Val Accuracy: 0.9518312101910829
Epoch 41, Val Loss: 0.17907029591068094, Val Accuracy: 0.9543192675159236
Epoch 42, Val Loss: 0.17803832192947514, Val Accuracy: 0.9538216560509554
Epoch 43, Val Loss: 0.17260500469658774, Val Accuracy: 0.9543192675159236
Epoch 44, Val Loss: 0.17446101516589765, Val Accuracy: 0.9543192675159236
Epoch 45, Val Loss: 0.17829397622426188, Val Accuracy: 0.9546178343949044
Epoch 46, Val Loss: 0.17621486681824175, Val Accuracy: 0.9533240445859873
Epoch 47, Val Loss: 0.17624083013610417, Val Accuracy: 0.95421974522293
Epoch 48, Val Loss: 0.17402327322077812, Val Accuracy: 0.9544187898089171
Epoch 49, Val Loss: 0.1745298046599792, Val Accuracy: 0.9540207006369427
Epoch 50, Val Loss: 0.17447062236591313, Val Accuracy: 0.9541202229299363
Epoch 51, Val Loss: 0.17451396223159868, Val Accuracy: 0.9543192675159236
Epoch 52, Val Loss: 0.17458143194723624, Val Accuracy: 0.9543192675159236
Epoch 53, Val Loss: 0.1746991247991263, Val Accuracy: 0.9547173566878981
Epoch 54, Val Loss: 0.17455249545194065, Val Accuracy: 0.9539211783439491
Epoch 55, Val Loss: 0.1747983766272575, Val Accuracy: 0.95421974522293
Epoch 56, Val Loss: 0.17636185284547515, Val Accuracy: 0.9544187898089171
Epoch 57, Val Loss: 0.17976016418370314, Val Accuracy: 0.9532245222929936
Epoch 58, Val Loss: 0.17932789834033827, Val Accuracy: 0.9534235668789809
Epoch 59, Val Loss: 0.18735287553845062, Val Accuracy: 0.9527269108280255
Epoch 60, Val Loss: 0.181508906914335, Val Accuracy: 0.9521297770700637
