Epoch 1, Val Loss: 2.0618730160840757, Val Accuracy: 0.28662420382165604
Epoch 2, Val Loss: 1.758116757793791, Val Accuracy: 0.4271496815286624
Epoch 3, Val Loss: 1.5537990027931845, Val Accuracy: 0.5246815286624203
Epoch 4, Val Loss: 1.406419772631044, Val Accuracy: 0.5905652866242038
Epoch 5, Val Loss: 1.29589121242997, Val Accuracy: 0.6307722929936306
Epoch 6, Val Loss: 1.1824540989414143, Val Accuracy: 0.6799363057324841
Epoch 7, Val Loss: 1.112025490991629, Val Accuracy: 0.6979498407643312
Epoch 8, Val Loss: 1.0485537617829195, Val Accuracy: 0.7246218152866242
Epoch 9, Val Loss: 0.9953155472020435, Val Accuracy: 0.7315883757961783
Epoch 10, Val Loss: 0.9327520644588835, Val Accuracy: 0.7557722929936306
Epoch 11, Val Loss: 0.9080495614155083, Val Accuracy: 0.7616441082802548
Epoch 12, Val Loss: 0.8596502777877127, Val Accuracy: 0.7765724522292994
Epoch 13, Val Loss: 0.8275159289882441, Val Accuracy: 0.7878184713375797
Epoch 14, Val Loss: 0.8022054870417163, Val Accuracy: 0.7872213375796179
Epoch 15, Val Loss: 0.7790988304053142, Val Accuracy: 0.8003582802547771
Epoch 16, Val Loss: 0.7613807073823965, Val Accuracy: 0.8036425159235668
Epoch 17, Val Loss: 0.7450418620352532, Val Accuracy: 0.8054339171974523
Epoch 18, Val Loss: 0.7256837136046902, Val Accuracy: 0.809812898089172
Epoch 19, Val Loss: 0.7230418352944077, Val Accuracy: 0.8103105095541401
Epoch 20, Val Loss: 0.7134375236216625, Val Accuracy: 0.8152866242038217
Epoch 21, Val Loss: 0.7017671253271164, Val Accuracy: 0.818172770700637
Epoch 22, Val Loss: 0.6910086277943508, Val Accuracy: 0.8185708598726115
Epoch 23, Val Loss: 0.6849643168555704, Val Accuracy: 0.8173765923566879
Epoch 24, Val Loss: 0.681449776242493, Val Accuracy: 0.8177746815286624
Epoch 25, Val Loss: 0.6692843809249295, Val Accuracy: 0.8266321656050956
Epoch 26, Val Loss: 0.669932056669217, Val Accuracy: 0.8267316878980892
Epoch 27, Val Loss: 0.6643705670810809, Val Accuracy: 0.8267316878980892
Epoch 28, Val Loss: 0.6584671475705067, Val Accuracy: 0.8246417197452229
Epoch 29, Val Loss: 0.6581116526559659, Val Accuracy: 0.8280254777070064
Epoch 30, Val Loss: 0.6574008293022775, Val Accuracy: 0.8257364649681529
Epoch 31, Val Loss: 0.6562837506555448, Val Accuracy: 0.8263335987261147
Epoch 32, Val Loss: 0.6582003340219996, Val Accuracy: 0.8245421974522293
Epoch 33, Val Loss: 0.6541547742998524, Val Accuracy: 0.830015923566879
Epoch 34, Val Loss: 0.6528409866580538, Val Accuracy: 0.8291202229299363
Epoch 35, Val Loss: 0.6524163353595005, Val Accuracy: 0.8283240445859873
Epoch 36, Val Loss: 0.6577336571778462, Val Accuracy: 0.8219546178343949
Epoch 37, Val Loss: 0.6547668133951297, Val Accuracy: 0.8258359872611465
Epoch 38, Val Loss: 0.6564779527437915, Val Accuracy: 0.8242436305732485
Epoch 39, Val Loss: 0.6532238970516594, Val Accuracy: 0.8233479299363057
Epoch 40, Val Loss: 0.6575719050730869, Val Accuracy: 0.8201632165605095
Epoch 41, Val Loss: 0.6599598672169789, Val Accuracy: 0.818968949044586
Epoch 42, Val Loss: 0.6608275898322937, Val Accuracy: 0.826234076433121
Epoch 43, Val Loss: 0.6591854574763851, Val Accuracy: 0.8225517515923567
Epoch 44, Val Loss: 0.6609016504067524, Val Accuracy: 0.8251393312101911
Epoch 45, Val Loss: 0.6701384692624875, Val Accuracy: 0.8205613057324841
Epoch 46, Val Loss: 0.6808749360453551, Val Accuracy: 0.8165804140127388
Epoch 47, Val Loss: 0.6805693237644852, Val Accuracy: 0.817078025477707
Epoch 48, Val Loss: 0.6901269490551797, Val Accuracy: 0.8158837579617835
Epoch 49, Val Loss: 0.684751596989905, Val Accuracy: 0.8153861464968153
Epoch 50, Val Loss: 0.6894435770572371, Val Accuracy: 0.8083200636942676
Epoch 51, Val Loss: 0.6964251057357546, Val Accuracy: 0.8090167197452229
Epoch 52, Val Loss: 0.7031156861098709, Val Accuracy: 0.8073248407643312
Epoch 53, Val Loss: 0.7198256854039089, Val Accuracy: 0.7970740445859873
Epoch 54, Val Loss: 0.7300577040310878, Val Accuracy: 0.794984076433121
Epoch 55, Val Loss: 0.7306468539936527, Val Accuracy: 0.7916003184713376
Epoch 56, Val Loss: 0.7376940132706029, Val Accuracy: 0.7921974522292994
Epoch 57, Val Loss: 0.7336523399990835, Val Accuracy: 0.7978702229299363
Epoch 58, Val Loss: 0.7367048571064214, Val Accuracy: 0.7950835987261147
Epoch 59, Val Loss: 0.7329200593529234, Val Accuracy: 0.7952826433121019
Epoch 60, Val Loss: 0.7299810034833896, Val Accuracy: 0.793093152866242
